Drivers	FuelC	Income	Miles	MPC	Pop	Tax	State	Dlic	Fuel	LogMiles
3559897	2382507	23471	94440	12737	3451586	18	AL	1031.38006701847	690.264417574993	11.4557199911994
472211	235400	30064	13628	7639.16	457728	8	AK	1031.64106194072	514.279222595078	9.51988177878086
3550367	2428430	25578	55245	9411.55	3907526	18	AZ	908.597153288295	621.475071439064	10.9195331175473
1961883	1358174	22257	98132	11268.4	2072622	21.7	AR	946.570575821351	655.292667934626	11.4940687901199
21623793	14691753	32275	168771	8923.89	25599275	18	CA	844.703336324955	573.9128549539	12.0362980454367
3287922	2048664	32949	85854	9722.73	3322455	22	CO	989.606179767672	616.61151166833	11.3604034581348
2650374	1458279	40640	20910	9021.35	2651452	25	CT	999.593430316672	549.992607823939	9.94798279242268
564099	382043	31255	5814	10891.3	610269	23	DE	924.344838095987	626.023933707922	8.66802408111882
328094	148769	37383	1534	6555.94	468575	20	DC	700.195272901883	317.492397161607	7.3356339819272
12743403	7471117	28145	117299	9531.23	12741821	13.6	FL	1000.12415807756	586.346096056443	11.672481509456
5833802	4693703	27940	115534	13248.6	6250708	7.5	GA	933.302595481984	750.907417207779	11.6573201379193
787820	404684	28221	4278	7108.75	949184	16	HI	829.997134380689	426.349369563752	8.36124088964235
896666	609051	24180	46310	10879.4	969166	25	ID	925.193413718599	628.427947327909	10.7431131994748
7809500	5015217	32259	138359	8239.09	9530327	19	IL	819.436730764852	526.237662149473	11.8376070355026
4116924	3120985	27011	94038	12916.9	4682392	15	IN	879.235228490054	666.536462560162	11.4514542348821
1978748	1475812	26723	113437	10258.4	2281002	20	IA	867.490690494791	647.001624724573	11.6390028957181
1871301	1236951	27816	134725	10656.7	2058489	21	KS	909.06533870232	600.902409485793	11.8109909428017
2756634	2085629	24294	78914	11301.7	3161283	16.4	KY	871.99848922099	659.741313890594	11.2761139308906
2718209	2151437	23334	60829	9505.31	3394854	20	LA	800.685095736076	633.734764440533	11.0158219279227
942556	590093	25623	22672	11320	1010273	22	ME	932.971582928575	584.09261655018	10.0288859619305
3451966	2460545	33872	30622	9673.67	4085342	23.5	MD	844.963775370581	602.286173348523	10.329473983865
4610666	2720510	37992	35408	8310.86	5008007	21	MA	920.65885690655	543.232068166039	10.4746930622908
6976982	4904689	29612	121790	9959.45	7628170	19	MI	914.633785036254	642.970594520049	11.7100535290812
2961236	2545530	32101	132280	10728.3	3782817	20	MN	782.812385584605	672.919149935088	11.7926761670957
1859487	1476477	20993	73701	12286.8	2160165	18.4	MS	860.807854955524	683.501954711793	11.2077716466064
3862300	2958880	27445	124324	12012.8	4292175	17	MO	899.846814260835	689.366113916604	11.730646340116
683351	467567	22569	69503	10965	701423	27	MT	974.235233233013	666.597759126804	11.1491251960889
1267284	812247	27829	92766	10567.4	1314974	24.5	NE	963.733123240459	617.690539889002	11.4378354723306
1420714	945643	30529	38658	9796.15	1537896	24.75	NV	923.803690236531	614.893985028897	10.5625090183667
941829	662475	33332	15508	9923.45	960593	19.5	NH	980.466232837424	689.652121137672	9.64911129879082
5715089	3911837	36983	36175	8099.59	6545471	10.5	NJ	873.136402254322	597.640261487676	10.4961235514997
1231701	885829	22203	59883	12571.4	1370134	18.5	NM	898.963896961903	646.527273974662	11.000147937479
11014805	5536612	34547	112961	6876.49	14797284	22	NY	744.380184904203	374.164069568442	11.6347979053791
5884651	4060592	27194	101195	11186	6291182	24.1	NC	935.380823508206	645.44182635314	11.5248046275003
455921	334544	25068	86591	11322.4	502176	21	ND	907.890858981712	666.188746574906	11.3689511630528
7736115	5028276	28400	117267	9371.29	8789530	22	OH	880.151157115341	572.075639994402	11.6722086651376
2172394	1751701	23517	112694	12612.9	2665966	17	OK	814.861854952389	657.060517651013	11.6324314599239
2534464	1487269	28350	66784	9907.26	2673283	24	OR	948.07171556472	556.345512240941	11.1092188098769
8226202	5024671	29539	119985	8092.07	9693987	26	PA	848.588098993737	518.328629902227	11.695122013951
660435	399113	29685	6053	7625	827474	29	RI	798.13383864629	482.326937160563	8.70830929589169
2849885	2217141	24321	66167	11469.6	3115130	16	SC	914.85267067506	711.733057689406	11.099937128212
544997	402472	26115	83560	11298.9	577391	22	SD	943.895904161998	697.052777060952	11.3333202156705
4188317	2837567	26239	87826	11610.6	4445987	20	TN	942.044364952034	638.231060954519	11.3831128633487
13045727	10637488	27871	300767	10458.4	15618097	20	TX	835.295554893788	681.100136591545	12.6140911575927
1495887	945531	23907	42208	11291.3	1598531	24.5	UT	935.788545858666	591.499945887818	10.650365055517
515348	331183	26901	14291	15688.4	479265	20	VT	1075.28820172556	691.02271186087	9.56738524748179
4920753	3765718	31162	70721	10259.5	5529436	17.5	VA	889.91951439532	681.031121438063	11.166497837483
4237845	2622633	31528	80985	8981.59	4552631	23	WA	930.856245542413	576.069749558003	11.3020192313205
1316955	818516	21915	36997	10946.1	1455370	25.65	WV	904.893600939967	562.410933302184	10.518592107258
3667497	2418289	28232	112663	10337.4	4156609	27.3	WI	882.329081229435	581.793716945712	11.6321563408888
370713	321847	27230	27292	17494.9	381882	14	WY	970.752745612519	842.791752426142	10.2143488979353
